2017-12-08 11:25:23,842 INFO:   	write_parameter_file chip_name: 3h6test2
2017-12-08 15:40:03,414 INFO:   	write_parameter_file chip_name: 4h4test1
2017-12-08 16:51:13,289 INFO:   	write_parameter_file chip_name: 4h4test1
2017-12-09 01:39:09,000 INFO:   	write_parameter_file chip_name: testtest
2017-12-09 01:40:29,913 INFO:   	write_parameter_file chip_name: testtest
2017-12-09 01:49:11,967 INFO:   	write_parameter_file chip_name: testtest
2017-12-09 01:49:16,926 INFO:   	write_parameter_file chip_name: testtest
2017-12-09 01:57:08,621 INFO:   	write_parameter_file chip_name: testtest
2017-12-09 02:39:01,183 INFO:   	write_parameter_file chip_name: 0_A1_1
2017-12-09 03:02:18,596 INFO:   	write_parameter_file chip_name: 0_A1_2
2017-12-09 03:19:43,440 INFO:   	write_parameter_file chip_name: 1_A1_1
2017-12-09 03:24:02,324 INFO:   	write_parameter_file chip_name: 1_A1_2
2017-12-09 03:30:00,338 INFO:   	write_parameter_file chip_name: 1_A2_1
2017-12-09 03:36:26,689 INFO:   	write_parameter_file chip_name: 1_A2_2
2017-12-09 03:39:47,453 INFO:   	write_parameter_file chip_name: 1_B1_1
2017-12-09 03:42:33,089 INFO:   	write_parameter_file chip_name: 1_B1_2
2017-12-09 03:45:38,235 INFO:   	write_parameter_file chip_name: 1_B2_1
2017-12-09 03:48:08,598 INFO:   	write_parameter_file chip_name: 1_B2_2
2017-12-09 04:05:40,267 INFO:   	write_parameter_file chip_name: 2_A1_1
2017-12-09 04:11:25,231 INFO:   	write_parameter_file chip_name: 2_A1_2
2017-12-09 04:15:31,260 INFO:   	write_parameter_file chip_name: 2_A2_1
2017-12-09 04:16:43,596 INFO:   	write_parameter_file chip_name: 2_A2_2
2017-12-09 04:18:34,814 INFO:   	write_parameter_file chip_name: 2_A3_1
2017-12-09 04:19:44,049 INFO:   	write_parameter_file chip_name: 2_A3_2
2017-12-09 04:21:36,046 INFO:   	write_parameter_file chip_name: 2_B1_1
2017-12-09 04:22:53,114 INFO:   	write_parameter_file chip_name: 2_B1_2
2017-12-09 04:24:23,327 INFO:   	write_parameter_file chip_name: 2_B2_1
2017-12-09 04:28:33,406 INFO:   	write_parameter_file chip_name: 2_B3_1
2017-12-09 04:53:42,591 INFO:   	write_parameter_file chip_name: 3_all_1
2017-12-09 06:26:26,360 INFO:   	write_parameter_file chip_name: diamond_1
2017-12-09 06:27:02,535 INFO:   	write_parameter_file chip_name: diamond_1
2017-12-09 07:11:00,690 INFO:   	write_parameter_file chip_name: diamond_2
2017-12-09 07:53:24,161 INFO:   	write_parameter_file chip_name: diamond_3
2017-12-09 10:11:23,542 INFO:   	write_parameter_file chip_name: diamond_4
2017-12-09 10:51:46,666 INFO:   	write_parameter_file chip_name: diamond_4
2017-12-09 11:39:38,569 INFO:   	write_parameter_file chip_name: diamond_5test
2017-12-09 11:42:21,817 INFO:   	write_parameter_file chip_name: diamond_5test
2017-12-09 11:43:27,655 INFO:   	write_parameter_file chip_name: diamond_5test
2017-12-09 11:50:24,845 INFO:   	write_parameter_file chip_name: diamond_5
2017-12-09 11:51:57,888 INFO:   	write_parameter_file chip_name: diamond_5
2017-12-09 12:13:48,898 INFO:   	write_parameter_file chip_name: diamond_5test
2017-12-09 12:24:37,276 INFO:   	write_parameter_file chip_name: diamond_5test
2017-12-09 14:18:25,949 INFO:   	write_parameter_file chip_name: film_test34
2017-12-09 14:25:53,650 INFO:   	write_parameter_file chip_name: film_test34
2017-12-09 14:27:42,775 INFO:   	write_parameter_file chip_name: film_test34
2017-12-09 14:33:15,457 INFO:   	write_parameter_file chip_name: film_test34
2017-12-09 14:47:49,160 INFO:   	write_parameter_file chip_name: film_test35
2017-12-09 14:49:59,424 INFO:   	write_parameter_file chip_name: film_test35
2017-12-09 14:52:02,731 INFO:   	write_parameter_file chip_name: film_test35
2017-12-09 15:42:21,198 INFO:   	write_parameter_file chip_name: 5_A2_1
2017-12-09 15:42:37,194 INFO:   	write_parameter_file chip_name: 5_A2_1
2017-12-09 15:51:25,384 INFO:   	write_parameter_file chip_name: 5_A2_C5_1
2017-12-09 15:53:04,696 INFO:   	write_parameter_file chip_name: 5_A2_C5_1
2017-12-09 16:28:01,293 INFO:   	write_parameter_file chip_name: 6_A1_1
2017-12-09 17:02:24,108 INFO:   	write_parameter_file chip_name: 7_thinfilm_1
2017-12-09 17:02:38,814 INFO:   	write_parameter_file chip_name: 7_thinfilm_1
2017-12-09 18:40:00,749 INFO:   	write_parameter_file chip_name: test_1
2017-12-09 19:03:29,168 INFO:   	write_parameter_file chip_name: 2_thinfilm_1
2017-12-09 19:13:30,405 INFO:   	write_parameter_file chip_name: 2_thinfilm_1
2017-12-09 19:18:44,308 INFO:   	write_parameter_file chip_name: 2_thinfilm_1
2017-12-09 19:22:37,056 INFO:   	write_parameter_file chip_name: 2_thinfilm_1
2017-12-09 19:35:48,873 INFO:   	write_parameter_file chip_name: 3_thinfilm_1
2017-12-09 19:43:35,350 INFO:   	write_parameter_file chip_name: 3_thinfilm_2
2017-12-09 19:55:55,466 INFO:   	write_parameter_file chip_name: 3_thinfilm_2
2017-12-09 20:00:07,887 INFO:   	write_parameter_file chip_name: 3_thinfilm_2
2017-12-09 20:20:59,861 INFO:   	write_parameter_file chip_name: 3_thinfilm_2
2017-12-09 20:36:03,488 INFO:   	write_parameter_file chip_name: 4_thinfilm_1
2017-12-09 20:55:56,568 INFO:   	write_parameter_file chip_name: 5_thinfilm_1
2017-12-09 21:21:03,693 INFO:   	write_parameter_file chip_name: 5_thinfilm_1
2017-12-09 21:30:06,169 INFO:   	write_parameter_file chip_name: 5_thinfilm_1
2017-12-09 21:52:19,155 INFO:   	write_parameter_file chip_name: 5_thinfilm_1
2017-12-09 22:00:57,937 INFO:   	write_parameter_file chip_name: 9_thinfilm_2
2017-12-09 22:17:38,174 INFO:   	write_parameter_file chip_name: 9_thinfilm_2
2017-12-09 22:34:23,442 INFO:   	write_parameter_file chip_name: 10_thinfilm_1
2017-12-09 22:41:24,826 INFO:   	write_parameter_file chip_name: 10_thinfilm_2
2017-12-09 23:17:00,688 INFO:   	write_parameter_file chip_name: 11_thinfilm_2
2017-12-09 23:43:00,284 INFO:   	write_parameter_file chip_name: 12_thinfilm_1
2017-12-10 00:03:39,587 INFO:   	write_parameter_file chip_name: 13_thinfilm_1
2017-12-10 00:31:47,167 INFO:   	write_parameter_file chip_name: 14_thinfilm_1
2017-12-10 00:49:30,858 INFO:   	write_parameter_file chip_name: 15_thinfilm_1
2017-12-10 01:08:16,499 INFO:   	write_parameter_file chip_name: 15_thinfilm_1
2017-12-10 01:08:24,712 INFO:   	write_parameter_file chip_name: 16_thinfilm_1
2017-12-10 01:26:14,786 INFO:   	write_parameter_file chip_name: 16_thinfilm_1
2017-12-10 01:45:20,967 INFO:   	write_parameter_file chip_name: 18_thinfilm_1
2017-12-10 02:10:18,010 INFO:   	write_parameter_file chip_name: 19_thinfilm_1
2017-12-10 02:27:18,747 INFO:   	write_parameter_file chip_name: 20_thinfilm_1
2017-12-10 02:54:31,221 INFO:   	write_parameter_file chip_name: 21_thinfilm_1
2017-12-10 03:16:24,734 INFO:   	write_parameter_file chip_name: 22_thinfilm_1
2017-12-10 03:36:18,870 INFO:   	write_parameter_file chip_name: 23_thinfilm_1
2017-12-10 03:54:39,957 INFO:   	write_parameter_file chip_name: 24_thinfilm_1
2017-12-10 04:11:49,611 INFO:   	write_parameter_file chip_name: 25_thinfilm_1
2017-12-10 04:29:08,222 INFO:   	write_parameter_file chip_name: 26_thinfilm_1
2017-12-10 04:44:48,986 INFO:   	write_parameter_file chip_name: 27_thinfilm_1
2017-12-10 05:02:05,701 INFO:   	write_parameter_file chip_name: 28_thinfilm_1
2017-12-10 05:21:12,246 INFO:   	write_parameter_file chip_name: 29_thinfilm_1
2017-12-10 05:36:54,182 INFO:   	write_parameter_file chip_name: 30_thinfilm_1
2017-12-10 05:53:42,022 INFO:   	write_parameter_file chip_name: 31_thinfilm_1
2017-12-10 06:11:06,455 INFO:   	write_parameter_file chip_name: 32_thinfilm_1
2017-12-10 06:26:58,534 INFO:   	write_parameter_file chip_name: 33_thinfilm_1
2017-12-10 06:42:26,818 INFO:   	write_parameter_file chip_name: 34_thinfilm_1
2017-12-10 07:00:17,730 INFO:   	write_parameter_file chip_name: 35_thinfilm_1
2017-12-10 07:17:17,799 INFO:   	write_parameter_file chip_name: 36_thinfilm_1
2017-12-10 07:33:13,798 INFO:   	write_parameter_file chip_name: 37_thinfilm_1
