2017-12-08 07:51:36,302 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-08 07:53:44,399 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-08 11:10:59,749 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-08 11:25:28,731 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-08 15:40:29,108 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-08 15:41:00,626 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-08 16:51:22,221 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-08 16:57:23,353 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 01:40:45,924 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 01:49:24,806 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 01:57:11,039 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 02:39:10,558 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:02:25,456 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:19:47,762 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:24:08,504 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:30:07,423 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:36:30,898 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:39:57,000 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:42:35,657 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:45:51,128 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 03:48:12,210 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.12
2017-12-09 04:06:31,186 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.18
2017-12-09 04:11:29,913 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.18
2017-12-09 04:15:35,181 INFO:   	load_motion_program_data X_STEP_SIZE 	 P1113=0.18
